ID,MP,Constituency
138,Khandaker Mosharraf Hossain,Faridpur-3
139,Sayed Abu Hossain,Dhaka-4
140,Md. Afzal Hossain,Kishoreganj-5
141,Farhad Hossain,Meherpur-1
142,Nurul Majid Mahmud Humayun,Narsingdi-4
143,A.K.M. Mozammel Huq,Gazipur-1
144,Anisul Huq,Brahmanbaria-4
145,Md. Abdul Hyee,Jhenaidah-1
146,Fakhrul Imam,Mymensingh-8
147,Tanveer Imam,Sirajganj-4
148,Hasanul Haq Inu,Kushtia-2
149,Qamrul Islam,Dhaka-2
150,Joaherul Islam,Tangail-8
151,A B Tajul Islam,Brahmanbaria-6
152,H.M. Ibrahim,Noakhali-1
153,Md.Tajul Islam,Comilla-9
154,Rafiqul Islam,Chandpur-5
155,Muhammad Nazrul Islam,Narsingdi-1
156,Md. Aminul Islam,Chapai Nawabganj-2
157,Md. Dabirul Islam,Thakurgaon-2
158,Mohammad Shahid Islam,Laxmipur-2
159,AKM Sarwar Jahan,Kushtia-1
160,Abdullah Al Islam Jakob,Bhola-4
161,Sheikh Salahuddin Jewel,Khulna-2
162,Shariful Islam Jinnah,Bogra-2
163,Nizam Uddin Jalil John,Naogaon-5
164,Ahmed Firoz Kabir,Pabna-2
165,A.H.M Mustafa Kamal,Comilla-10
166,A.K.M. Shajahan Kamal,Laxmipur-3
167,Shaimum Sarwar Kamal,Cox's Bazar-3
168,SM Rezaul Karim,Pirojpur-1
169,K. M. Khalid,Mymensingh-5
170,Md. Hasan Imam Khan,Tangail-4
171,Md. Faridul Haque Khan,Jamalpur-2
172,Shafiqul Azam Khan,Jhenaidah-3
173,Anwarul Abedin Khan,Mymensingh-9
174,Anwar Hossain Khan,Laxmipur-1
175,Anwarul Ashraf Khan,Narsingdi-2
176,Asaduzzaman Khan,Dhaka-12
177,Ataur Rahman Khan,Tangail-3
178,Md. Abdul Majid Khan,Habiganj-2
179,Md. Sadek Khan,Dhaka-13
180,Mokabbir Khan,Sylhet-2
181,Muhammad Faruk Khan,Gopalganj-1
182,Shajahan Khan,Madaripur-2
183,Abdul Matin Khasru,Comilla-5
184,Ashraf Ali Khan Khasru,Netrokona-2
185,Sahara Khatun,Dhaka-18
186,Liyakot Hossain Khoka,Narayanganj-3
187,Md. Mamunur Rashid Kiron,Noakhali-3
188,M. Abdul Latif,Chittagong-11
189,Syeda Zakia Noor Lipi,Kishoreganj-1
190,Mustafa Lutfullah,Satkhira-1
191,Abdul Mannan,Laxmipur-4
192,Syed Nazibul Bashar Maizvandary,Chittagong-2
193,Abu Reza Muhammad Nezamuddin,Chittagong-15
194,Ruhul Amin Madani,Mymensingh-7
195,Nur Mohammad,Kishoreganj-2
196,Manu Majumdar,Netrokona-1
197,Zahid Maleque,Manikganj-3
198,Habibur Rahman Mollah,Dhaka-5
199,Zahirul Haque Bhuiyan Mohan,Narsingdi-3
200,Rashed Khan Menon,Dhaka-8
201,Rebecca Momin,Netrokona-4
202,Choto Monir,Tangail-2
203,Hafiz Ahmed Mazumder,Sylhet-5
204,Abdus Salam Murshedy,Khulna-4
205,Kamal Ahmed Majumder,Dhaka-15
206,Md. Elias Uddin Mollah,Dhaka-16
207,Dipu Moni,Chandpur-3
208,Sadhan Chandra Majumder,Naogaon-1
209,Abdul Mannan,Bogra-1
210,Anisul Islam Mahmud,Chittagong-5
211,Mohammad Hasan Mahmud,Chittagong-7
212,Mohibur Rahman Manik,Sunamganj-5
213,M.A. Mannan,Sunamganj-3
214,MA Matin,Kurigram-3
215,Shahjahan Mia,Patuakhali-1
216,Fazle Rabbi Miah,Gaibandha-5
217,Md. Habibe Millat,Sirajganj-2
218,AK Abdul Momen,Sylhet-1
219,Abdul Majid Mondol,Sirajganj-5
220,Mashrafe Mortaza,Narail-2
221,Tipu Munshi,Rangpur-4
222,Mohammad Nasim,Sirajganj-1
223,Habibun Nahar,Bagerhat-3
224,Nurul Islam Nahid,Sylhet-6
225,Pankaj Nath,Barisal-4
226,Asaduzzaman Noor,Nilphamari-2
227,A K M Salim Osman,Narayanganj-5
228,Shamim Osman,Narayanganj-4
229,Zunaid Ahmed Palak,Natore-3
230,Shamim Haidar Patoary,Gaibandha-1
231,Md. Emaz Uddin Pramanik,Naogaon-4
232,Golam Faruk Khandakar Princ,Pabna-5
233,Nazmul Haque Prodhan,Panchagarh-1
234,GM Quader,Lalmonirhat-3
235,Obaidul Quader,Noakhali-5
236,Md. Abdul Quddus,Natore-4
237,Asheq Ullah Rafiq,Cox's Bazar-2
238,Iqbalur Rahim,Dinajpur-3
239,Jahidur Rahman,Thakurgaon-3
240,Ahsan Adelur Rahman,Nilphamari-4
241,Md. Habibar Rahman,Bogra-5
242,H. N. Ashequr Rahman,Rangpur-5
243,Mansur Rahman,Rajshahi-5
